process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:COOPERATIVE_LEARNING:COOPERATIVE_LEARNING_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_1	3.1s	72.4%	0.1%	200.1 MB	200.1 MB	291.3 MB	29.4s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_1-sgcca	4.5s	75.9%	0.1%	223.5 MB	223.5 MB	319.1 MB	27s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_2-rgcca	4.5s	75.5%	0.1%	248.8 MB	248.8 MB	408.5 MB	24.7s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_3-sgcca	4.3s	76.6%	0.1%	223.6 MB	223.6 MB	319.3 MB	22.3s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_1-rgcca	4.5s	74.3%	0.1%	223.5 MB	223.5 MB	319.1 MB	19.9s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_2-sgcca	4.4s	76.3%	0.1%	223.5 MB	223.5 MB	319.3 MB	17.5s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_3-rgcca	4.8s	74.7%	0.1%	241.9 MB	241.9 MB	401.7 MB	49.1s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_4-rgcca	5s	74.6%	0.1%	221.9 MB	221.9 MB	318.3 MB	46.8s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_4-sgcca	4.8s	70.9%	0.1%	223.5 MB	223.5 MB	319.2 MB	44.5s	6 GB
NFCORE_MESSI_BENCHMARK:MESSI_BENCHMARK:CROSS_VALIDATION:CV_R:RGCCA:RGCCA_PREDICT	sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0.5-fold_5-rgcca	4.5s	75.4%	0.1%	219.9 MB	219.9 MB	318.3 MB	42.1s	6 GB
