method_name,dataset,fold,accuracy,balanced_accuracy,precision,average_precision_score,recall,f1_score,auc,log_loss,phi_coefficient
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_4,0.48,0.48,0.479,0.49,0.46,0.469,0.436,18.743,-0.04
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-0.5,fold_5,0.48,0.48,0.479,0.49,0.46,0.469,0.491,18.743,-0.04
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_1,0.53,0.53,0.533,0.516,0.48,0.505,0.549,16.941,0.06
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_2,0.45,0.45,0.453,0.477,0.48,0.466,0.439,19.824,-0.1
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_3,0.43,0.43,0.434,0.47,0.46,0.447,0.467,20.545,-0.14
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_4,0.55,0.55,0.558,0.528,0.48,0.516,0.523,16.22,0.101
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-0_e-1_sigma-def_corr-1,fold_5,0.52,0.52,0.518,0.51,0.58,0.547,0.531,17.301,0.04
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_1,0.93,0.93,0.922,0.896,0.94,0.931,0.965,2.523,0.86
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_2,0.85,0.85,0.907,0.817,0.78,0.839,0.944,5.407,0.707
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_3,0.88,0.88,0.896,0.84,0.86,0.878,0.963,4.325,0.761
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_4,0.9,0.9,0.9,0.86,0.9,0.9,0.968,3.604,0.8
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0,fold_5,0.91,0.91,0.873,0.858,0.96,0.914,0.969,3.244,0.824
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_1,0.92,0.92,0.938,0.894,0.9,0.918,0.979,2.883,0.841
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_2,0.85,0.85,0.907,0.817,0.78,0.839,0.937,5.407,0.707
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_3,0.87,0.87,0.863,0.819,0.88,0.871,0.942,4.686,0.74
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_4,0.92,0.92,0.938,0.894,0.9,0.918,0.961,2.883,0.841
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-0.5,fold_5,0.88,0.88,0.852,0.824,0.92,0.885,0.959,4.325,0.762
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_1,0.89,0.89,0.953,0.872,0.82,0.882,0.972,3.965,0.788
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_2,0.89,0.89,0.882,0.844,0.9,0.891,0.975,3.965,0.78
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_3,0.82,0.82,0.808,0.758,0.84,0.824,0.911,6.488,0.641
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_4,0.92,0.92,0.904,0.88,0.94,0.922,0.959,2.883,0.841
cooperative_learning,sim-data_strategy-intersim_n-500_H-200_effect-1_e-1_sigma-def_corr-1,fold_5,0.9,0.9,0.885,0.854,0.92,0.902,0.945,3.604,0.801
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_1,0.7,0.7,0.667,0.633,0.8,0.727,0.64,10.813,0.408
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_2,0.6,0.6,0.667,0.567,0.4,0.5,0.64,14.417,0.218
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_3,0.6,0.6,0.6,0.56,0.6,0.6,0.76,14.417,0.2
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_4,0.6,0.6,0.6,0.56,0.6,0.6,0.82,14.417,0.2
cooperative_learning,sim-data_strategy-intersim_n-50_H-200_effect-0.5_e-1_sigma-def_corr-0,fold_5,0.9,0.9,1.0,0.9,0.8,0.889,1.0,3.604,0.816
